task,model,split,class_or_average,status,precision,recall,f1-score,support
best_intervention_all_models,Mechanistic virtual-cell summaries,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Mechanistic virtual-cell summaries,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,anti_cytokine,ok,0.4,0.42857142857142855,0.41379310344827586,14.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,combination,ok,0.5454545454545454,0.5454545454545454,0.5454545454545454,22.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,pro_resolution,ok,0.23076923076923078,0.25,0.24,12.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,macro avg,ok,0.23524475524475524,0.2448051948051948,0.23984952978056423,50.0
best_intervention_all_models,Mechanistic virtual-cell summaries,test,weighted avg,ok,0.40738461538461546,0.42,0.4134620689655172,50.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type I: feature concatenation,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,anti_cytokine,ok,0.375,0.21428571428571427,0.2727272727272727,14.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,combination,ok,0.4722222222222222,0.7727272727272727,0.5862068965517241,22.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,pro_resolution,ok,0.0,0.0,0.0,12.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,macro avg,ok,0.16944444444444445,0.1974025974025974,0.17178683385579935,50.0
best_intervention_all_models,Hybrid Type I: feature concatenation,test,weighted avg,ok,0.31277777777777777,0.4,0.33429467084639497,50.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,anti_cytokine,ok,0.0,0.0,0.0,14.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,combination,ok,0.4375,0.9545454545454546,0.6,22.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,pro_resolution,ok,0.0,0.0,0.0,12.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,macro avg,ok,0.0875,0.19090909090909092,0.12,50.0
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,weighted avg,ok,0.1925,0.42,0.264,50.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
