feature,importance
rna_WOUND_HEALING_spatial_var_proxy,0.0006443622709481487
rna_EXHAUSTION_PD1_LAG3_TIM3_gene03_logCPM,0.0006418749927549578
rna_M2_REPAIR_CD163_MRC1_IL10_gene01_logCPM,0.000640034833318643
spatial_EXHAUSTION_PD1_LAG3_TIM3_moran_proxy,0.0006346310386466022
spatial_T_CELL_CYTOTOXIC_moran_proxy,0.0006323138799803178
rna_ECM_STROMAL_BARRIER_gene03_logCPM,0.000603256059445044
bulk_EXHAUSTION_PD1_LAG3_TIM3_mean,0.0005970081826795639
rna_M2_REPAIR_CD163_MRC1_IL10_gene03_logCPM,0.000588260000120216
bulk_TREG_FOXP3_IL2RA_CTLA4_q90,0.0005737584402018892
rna_TREG_gene04_logCPM,0.0005628615699281698
rna_IL6_JAK_STAT3_spatial_var_proxy,0.0005585787763941397
rna_TREG_gene06_logCPM,0.0005584757863643761
rna_TNF_NFKB_gene02_logCPM,0.0005467697495685378
mech_max_cytokines_max,0.0005444448275147096
spatial_cytotoxic_exhaustion_inverse_corr,0.0005379866922153597
rna_MYELOID_SUPPRESSION_module_sd_logCPM,0.0005319256926234783
spatial_ecm_regulatory_colocalization,0.0005249361778743894
rna_ECM_REMODELING_gene06_logCPM,0.0004945506580193864
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene01_logCPM,0.0004932806171608924
rna_T_CELL_CYTOTOXIC_module_mean_logCPM,0.0004899497168574779
spatial_WOUND_HEALING_q95,0.000489132020686363
spatial_TREG_moran_proxy,0.00048144796584789653
bulk_IFNG_RESPONSE_q90,0.0004765325107492438
spatial_NK_CELL_q95,0.00047036987115500035
mech_count_nk_cell_auc,0.00047027935961016076
rna_M2_REPAIR_CD163_MRC1_IL10_spatial_var_proxy,0.0004696406283278023
rna_MYELOID_SUPPRESSION_gene04_logCPM,0.0004664360480757526
bulk_TGFB_SIGNALING_mean,0.0004662542663625726
bulk_ECM_STROMAL_BARRIER_mean,0.0004661209970501137
rna_T_CELL_CYTOTOXIC_module_sd_logCPM,0.00046417384225401297
rna_IFNG_RESPONSE_gene04_logCPM,0.00046262429669345775
rna_TREG_module_mean_logCPM,0.00046234132631999334
spatial_regulatory_damage_colocalization,0.00045901220794404015
rna_ECM_STROMAL_BARRIER_spatial_var_proxy,0.00045472269474825563
spatial_T_CELL_CYTOTOXIC_var,0.00045324436641797837
spatial_ECM_REMODELING_var,0.00045146045632450676
mech_mean_cytokines_final,0.00045084699384616354
rna_M2_REPAIR_CD163_MRC1_IL10_gene06_logCPM,0.00044972540285034986
rna_HYPOXIA_gene04_logCPM,0.000445921882784741
rna_TNF_NFKB_module_mean_logCPM,0.00044175567699790386
bulk_NK_CELL_q90,0.00043671949043861205
rna_M2_REPAIR_CD163_MRC1_IL10_gene02_logCPM,0.0004366019111814617
rna_ECM_REMODELING_module_mean_logCPM,0.00043212414737585727
rna_IL6_JAK_STAT3_gene03_logCPM,0.000430710098399631
rna_HYPOXIA_gene02_logCPM,0.0004281086982083217
rna_TREG_FOXP3_IL2RA_CTLA4_gene02_logCPM,0.00042651424714146833
rna_HYPOXIA_module_mean_logCPM,0.00042599387322300454
rna_TREG_FOXP3_IL2RA_CTLA4_gene06_logCPM,0.00042337196128388845
bulk_pro_inflammatory_to_regulatory,0.0004217110073680563
spatial_IFNG_RESPONSE_moran_proxy,0.00041767911186118867
rna_WOUND_HEALING_gene03_logCPM,0.00041379390643788984
spatial_EMT_FIBROSIS_moran_proxy,0.000413342666561728
rna_TREG_FOXP3_IL2RA_CTLA4_module_sd_logCPM,0.00041001486941399896
rna_TREG_spatial_var_proxy,0.00040766273819472447
rna_TREG_gene03_logCPM,0.00040566695080615
rna_HYPOXIA_gene03_logCPM,0.00040435589812177396
bulk_INFLAMMATORY_RESPONSE_std,0.0003948047650196819
mech_mean_cytotoxic_activity_early_slope,0.0003925461394216374
rna_MACROPHAGE_gene06_logCPM,0.00039145944463729354
bulk_CYTOTOXICITY_GZMB_PRF1_NKG7_mean,0.00038900392821379615
spatial_immune_exclusion_index,0.00038417559405312906
spatial_DAMAGE_STRESS_q95,0.0003831493238496332
spatial_CYTOTOXICITY_GZMB_PRF1_NKG7_q95,0.0003787112286084184
spatial_repair_damage_hotspot_distance,0.0003757888977796246
mech_treg_cytotoxic_program_mean_auc,0.00037419577759711833
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_module_sd_logCPM,0.00037257091148289477
rna_TREG_FOXP3_IL2RA_CTLA4_gene04_logCPM,0.0003681700993237647
rna_DAMAGE_STRESS_spatial_var_proxy,0.0003668393561536323
rna_APOPTOSIS_spatial_var_proxy,0.00036523842191100384
spatial_TREG_var,0.00036333588389322527
spatial_TREG_FOXP3_IL2RA_CTLA4_q95,0.00036071290405281976
spatial_ECM_REMODELING_moran_proxy,0.00035561922033567315
rna_IFNG_RESPONSE_gene02_logCPM,0.00034935448398303926
rna_MACROPHAGE_gene01_logCPM,0.0003451646413378319
spatial_ECM_STROMAL_BARRIER_var,0.00034095684536798076
rna_inflammatory_to_regulatory_ratio,0.00033798454657805684
rna_WOUND_HEALING_gene01_logCPM,0.00033538438087025736
rna_IFNG_RESPONSE_gene03_logCPM,0.0003342043742914406
rna_T_CELL_CYTOTOXIC_gene02_logCPM,0.0003338862951322992
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene02_logCPM,0.00033343706584010855
rna_EMT_FIBROSIS_gene02_logCPM,0.00033341390437170915
spatial_MACROPHAGE_q95,0.00033272757484422176
rna_EMT_FIBROSIS_spatial_var_proxy,0.00033244573218414687
bulk_TGFB_SIGNALING_std,0.0003324002074410179
rna_EXHAUSTION_PD1_LAG3_TIM3_spatial_var_proxy,0.0003305169291528535
rna_ECM_STROMAL_BARRIER_gene01_logCPM,0.00032903043323378176
rna_EMT_FIBROSIS_module_sd_logCPM,0.0003279271252878208
mech_nk_cell_NFkB_inflammatory_mean_auc,0.00032621211698568534
bulk_ECM_STROMAL_BARRIER_q90,0.00032436821628355883
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene05_logCPM,0.0003232671038488606
rna_NK_CELL_gene03_logCPM,0.0003225441230673587
rna_EMT_FIBROSIS_gene04_logCPM,0.0003214674921116459
bulk_M2_REPAIR_CD163_MRC1_IL10_std,0.00031686001242404543
spatial_cytotoxic_heterogeneity,0.00031577953573135107
rna_NK_CELL_module_mean_logCPM,0.0003142473252502277
rna_EXHAUSTION_PD1_LAG3_TIM3_gene06_logCPM,0.0003127425756861397
rna_DAMAGE_STRESS_module_mean_logCPM,0.0003117101035926382
rna_NK_CELL_module_sd_logCPM,0.00031156589733798926
rna_HYPOXIA_gene01_logCPM,0.00030706397380866397
mech_count_t_cell_max,0.00030129568739561036
spatial_TREG_FOXP3_IL2RA_CTLA4_moran_proxy,0.0003001093117615391
bulk_CYTOTOXICITY_GZMB_PRF1_NKG7_std,0.00029899986016952403
rna_IL6_JAK_STAT3_gene04_logCPM,0.00029839124424729053
bulk_MYELOID_SUPPRESSION_q90,0.000297357368618966
spatial_INFLAMMATORY_RESPONSE_q95,0.0002949849870611283
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_module_mean_logCPM,0.0002939841774771122
spatial_regulatory_damage_hotspot_distance,0.00029143234306365355
rna_IFNG_RESPONSE_spatial_var_proxy,0.0002913440723509808
rna_DAMAGE_STRESS_gene02_logCPM,0.00029132308208446657
