task,model,split,class_or_average,status,precision,recall,f1-score,support
regime_classification_all_models,Mechanistic virtual-cell summaries,train,macro avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Mechanistic virtual-cell summaries,train,weighted avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,acute_resolving,ok,1.0,1.0,1.0,10.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,chronic,ok,0.8333333333333334,1.0,0.9090909090909091,10.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,hyperinflammatory,ok,1.0,0.9,0.9473684210526315,10.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,immune_excluded,ok,1.0,0.9,0.9473684210526315,10.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,suppressed,ok,1.0,1.0,1.0,10.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,macro avg,ok,0.9666666666666668,0.96,0.9607655502392344,50.0
regime_classification_all_models,Mechanistic virtual-cell summaries,test,weighted avg,ok,0.9666666666666667,0.96,0.9607655502392345,50.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,acute_resolving,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,chronic,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,hyperinflammatory,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,immune_excluded,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,suppressed,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,macro avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type I: feature concatenation,train,weighted avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,acute_resolving,ok,1.0,1.0,1.0,10.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,chronic,ok,0.8333333333333334,1.0,0.9090909090909091,10.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,hyperinflammatory,ok,1.0,0.9,0.9473684210526315,10.0
