step,time,mean_damage,max_damage,mean_cytokine,max_cytokine,mean_ecm,max_ecm,mean_repair,mean_penetration,mean_necrosis,mean_activation_NFkB,mean_STAT3_IL6,mean_IFN,mean_cytotoxicity,mean_exhaustion,mean_TGFb_suppression,mean_repair_program
0,0.0,0.0,0.0,0.0,0.0,0.1193044702441469,0.5856469734308873,0.0,0.0,0.0,0.30956601262533456,0.2503435226326466,0.3174583469696546,0.37772825896945067,0.1253597062797618,0.24717437343506587,0.3275189513310772
1,0.045,6.320394001579508e-06,7.332615056423909e-05,0.0006429696876745915,0.07254360596651765,0.12140872265861012,0.5866152848591799,0.0025134374181361354,0.00010056235027380653,0.0,0.2909110976178894,0.24335844937211049,0.3068067898953342,0.3369422843370968,0.16745056657577756,0.22388541112009258,0.31054271807316164
2,0.09,1.2906159950351425e-05,0.0001495448859281831,0.0012691159460526597,0.12253910951946238,0.12352004823574142,0.5876875104125537,0.004848933353713846,0.00018912405581397542,0.0,0.2750468384932417,0.23760447481526056,0.29756223036284685,0.3029949603137716,0.20373177421447214,0.2040185096799669,0.2959456877635079
3,0.135,1.9735032973206586e-05,0.00022877465194867257,0.001881022918950925,0.1719116569599318,0.1256385126488802,0.5886135045887224,0.007021407535651912,0.0002690858678137805,0.0,0.2616715841099421,0.23290494915721002,0.28934116820012357,0.2744153646882651,0.23534042550953552,0.18703813324837357,0.2833185259427617
4,0.18,2.6833877076365253e-05,0.0003111387186090341,0.0024810076826521222,0.19931128102083334,0.12775427870969455,0.5896711725454368,0.009043304809135337,0.00033671870571013113,0.0,0.25046026980232416,0.22904907801489693,0.28257851609072787,0.25103571769922156,0.26231061558622154,0.17251260276983857,0.2723058499446203
5,0.22499999999999998,3.4330161406777814e-05,0.00039676537310253003,0.003071374744551513,0.22926338705190222,0.129871850306665,0.5906667815266549,0.010925814535313143,0.0003961598302777948,0.0,0.24118461776822972,0.2259615168812824,0.2764783646107321,0.23132357158168199,0.28585644747418193,0.1601441043621817,0.2626773002111411
6,0.27,4.2024959393600055e-05,0.0005324649210910138,0.0036541820061498148,0.2761807056192528,0.13201863267732927,0.5916018184632474,0.012680442991210062,0.00045261085784358614,0.0,0.23357685242874482,0.2236392299372734,0.27120862606170715,0.21485622802085544,0.3066525870589078,0.14958660262943993,0.2543594491612742
7,0.315,5.00089440270335e-05,0.0006219403052733926,0.0042315847843984065,0.3226954367844323,0.13416584631408618,0.5926156456452495,0.01431757440000529,0.0005039415371784402,0.0,0.22751616868399138,0.22199193163435324,0.26695474718767853,0.20153372535953973,0.3245869065264526,0.14061871944563847,0.24717086634949137
8,0.36,5.830270124553443e-05,0.0007149795886730096,0.004804121900858791,0.3700750810730642,0.13631082001195227,0.5938006619825574,0.015846373963080466,0.0005504281729079896,0.0,0.22237952649037132,0.22063685621986603,0.26326525928503863,0.19055917636718614,0.340063897143396,0.13298903531913864,0.24094077228285754
9,0.40499999999999997,6.694391652738403e-05,0.0008117284570704428,0.005373396857275117,0.42158814658609917,0.13846187114313377,0.5948325251524036,0.01727492290698139,0.000595207168750535,0.0,0.21834000791809027,0.21974013340563053,0.26023825228109504,0.18166373928520585,0.3535843187287879,0.12650535497643361,0.2355196922012018
